 i r(i) N(i) N( i<)    N( i<)m      d(x)      %error
  130   0.1300     12    814   8.140E-03   8.132E-03   9.411E-04
  131   0.1310     12    826   8.260E-03   8.253E-03   9.058E-04
  132   0.1320     12    838   8.380E-03   8.374E-03   7.742E-04
  133   0.1330     12    850   8.500E-03   8.495E-03   5.654E-04
  134   0.1340     12    862   8.620E-03   8.618E-03   2.609E-04
  135   0.1350     12    874   8.740E-03   8.741E-03  -1.353E-04
  136   0.1360     12    886   8.860E-03   8.865E-03  -5.908E-04
  137   0.1370     12    898   8.980E-03   8.990E-03  -1.138E-03
  138   0.1380     13    911   9.110E-03   9.116E-03  -6.486E-04
  139   0.1390     13    924   9.240E-03   9.242E-03  -2.605E-04
  140   0.1400     13    937   9.370E-03   9.370E-03   3.051E-05
  141   0.1410     13    950   9.500E-03   9.498E-03   2.411E-04
  142   0.1420     13    963   9.630E-03   9.627E-03   3.488E-04
  143   0.1430     13    976   9.760E-03   9.756E-03   3.830E-04
  144   0.1440     13    989   9.890E-03   9.887E-03   3.467E-04
  145   0.1450     13   1002   1.002E-02   1.002E-02   2.115E-04
  146   0.1460     13   1015   1.015E-02   1.015E-02   1.817E-05
  147   0.1470     13   1028   1.028E-02   1.028E-02  -2.493E-04
  148   0.1480     13   1041   1.041E-02   1.042E-02  -5.819E-04
  149   0.1490     13   1054   1.054E-02   1.055E-02  -9.770E-04
  150   0.1500     14   1068   1.068E-02   1.069E-02  -5.084E-04
  151   0.1510     14   1082   1.082E-02   1.082E-02  -1.149E-04
  152   0.1520     14   1096   1.096E-02   1.096E-02   1.946E-04
  153   0.1530     14   1110   1.110E-02   1.110E-02   4.346E-04
  154   0.1540     14   1124   1.124E-02   1.123E-02   6.017E-04
  155   0.1550     14   1138   1.138E-02   1.137E-02   6.823E-04
  156   0.1560     14   1152   1.152E-02   1.151E-02   7.120E-04
  157   0.1570     14   1166   1.166E-02   1.165E-02   6.765E-04
  158   0.1580     14   1180   1.180E-02   1.179E-02   5.623E-04
  159   0.1590     14   1194   1.194E-02   1.194E-02   3.985E-04
  160   0.1600     14   1208   1.208E-02   1.208E-02   1.711E-04
  161   0.1610     14   1222   1.222E-02   1.222E-02  -1.071E-04
  162   0.1620     14   1236   1.236E-02   1.237E-02  -4.447E-04
  163   0.1630     14   1250   1.250E-02   1.251E-02  -8.295E-04
  164   0.1640     15   1265   1.265E-02   1.266E-02  -4.745E-04
  165   0.1650     15   1280   1.280E-02   1.280E-02  -1.911E-04
  166   0.1660     15   1295   1.295E-02   1.295E-02   3.761E-05
  167   0.1670     15   1310   1.310E-02   1.310E-02   2.039E-04
  168   0.1680     15   1325   1.325E-02   1.325E-02   3.004E-04
