  rad  n_part V_c    Disp: rad   Z         phikappa Omega Q  <Vphi>  ASYMD  
  0.3724   12   62.77   29.48    30.85    25.93     4.07     2.31       1.20      62.50       5.86      29.27
  0.3752   12   63.03   29.55    30.83    25.99     4.06     2.31       1.20      62.74       6.02      29.44
  0.3780   12   63.28   29.62    30.81    26.05     4.04     2.30       1.20      62.98       6.18      29.61
  0.3808   12   63.54   29.69    30.80    26.11     4.03     2.29       1.20      63.22       6.34      29.79
  0.3836   12   63.80   29.76    30.78    26.17     4.02     2.28       1.20      63.47       6.49      29.96
  0.3864   13   64.05   29.82    30.77    26.23     4.00     2.28       1.20      63.70       6.63      30.13
  0.3892   13   64.30   29.89    30.75    26.29     3.99     2.27       1.20      63.94       6.79      30.30
  0.3920   13   64.55   29.96    30.74    26.35     3.98     2.26       1.20      64.18       6.93      30.48
  0.3948   13   64.80   30.03    30.72    26.41     3.96     2.25       1.20      64.41       7.08      30.65
  0.3976   13   65.05   30.09    30.71    26.47     3.95     2.25       1.20      64.65       7.22      30.82
  0.4004   13   65.30   30.16    30.69    26.52     3.94     2.24       1.20      64.89       7.35      30.99
  0.4032   13   65.55   30.23    30.68    26.58     3.93     2.23       1.20      65.12       7.50      31.16
  0.4060   13   65.80   30.29    30.66    26.64     3.91     2.22       1.20      65.35       7.63      31.33
  0.4088   13   66.05   30.35    30.65    26.69     3.90     2.22       1.20      65.59       7.76      31.49
  0.4116   13   66.29   30.42    30.63    26.75     3.89     2.21       1.20      65.82       7.90      31.66
  0.4144   13   66.54   30.48    30.61    26.81     3.88     2.20       1.20      66.05       8.03      31.83
  0.4172   13   66.78   30.54    30.60    26.86     3.87     2.20       1.20      66.28       8.16      32.00
  0.4200   14   67.02   30.61    30.58    26.92     3.85     2.19       1.20      66.51       8.29      32.17
  0.4228   14   67.27   30.67    30.57    26.97     3.84     2.18       1.20      66.74       8.42      32.33
  0.4256   14   67.51   30.73    30.55    27.02     3.83     2.18       1.20      66.97       8.54      32.50
  0.4284   14   67.75   30.79    30.54    27.08     3.82     2.17       1.20      67.19       8.67      32.67
  0.4312   14   67.99   30.85    30.52    27.13     3.81     2.17       1.20      67.42       8.80      32.83
  0.4340   14   68.23   30.91    30.51    27.18     3.80     2.16       1.20      67.65       8.92      33.00
  0.4368   14   68.47   30.97    30.49    27.24     3.79     2.15       1.20      67.87       9.04      33.16
  0.4396   14   68.71   31.03    30.48    27.29     3.77     2.15       1.20      68.10       9.16      33.33
  0.4424   14   68.95   31.09    30.46    27.34     3.76     2.14       1.20      68.32       9.28      33.49
  0.4452   14   69.19   31.15    30.45    27.39     3.75     2.13       1.20      68.54       9.41      33.66
  0.4480   14   69.43   31.21    30.43    27.44     3.74     2.13       1.20      68.77       9.52      33.82
  0.4508   14   69.66   31.26    30.42    27.49     3.73     2.12       1.20      68.99       9.64      33.98
  0.4536   14   69.89   31.32    30.40    27.54     3.72     2.12       1.20      69.21       9.76      34.15
